𫝈	㑮
诧	詫
诟	詬
诡	詭
诠	詮
诘	詰
话	話
该	該
详	詳
诜	詵
𫍣	詷
诙	詼
诖	詿
𫍥	誂
诔	誄
诛	誅
诓	誆
夸	誇 夸
𫍪	誋
认	認
诳	誑
诶	誒
诞	誕
诱	誘
诮	誚
语	語
诚	誠
诫	誡
诬	誣
误	誤
诰	誥
诵	誦
诲	誨
说	說
𫍨	誫
谁	誰
课	課
𫍮	誳
𫟡	誴
谇	誶
𫍬	誷
诽	誹
𫍧	誺
谊	誼
訚	誾
调	調
谄	諂
谆	諄
谈	談
诿	諉
请	請
诤	諍
诹	諏
诼	諑
谅	諒
论	論
谂	諗
谀	諛
谍	諜
谞	諝
谝	諞
谥	諡 謚
诨	諢
𫍩	諣
谔	諤
𫍳	諥
谛	諦
谐	諧
谏	諫
𫍝	諫
谕	諭
咨	諮 咨
谘	諮
𫍱	諯
𫍰	諰
讳	諱
谙	諳
𫍯	諴
谌	諶
讽	諷
诸	諸
谚	諺
谖	諼
诺	諾
谋	謀
谒	謁
谓	謂
誊	謄
诌	謅
𫍸	謆
𫍷	謉
谎	謊
谜	謎
𫍲	謏
谧	謐
谑	謔
谡	謖
谤	謗
谦	謙
讲	講
谢	謝
谣	謠
谟	謨
谪	謫
谬	謬
𫍹	謯
𫍴	謱
讴	謳
𫍵	謸
谨	謹
谩	謾
哗	譁 嘩
𫟠	譂
𰶎	譅
𫍻	譆
证	證 証
𫍢	譊
谲	譎
讥	譏
𫍤	譑
谮	譖
识	識
谯	譙
谭	譚
谱	譜
𫍽	譞
𫍦	譨
谵	譫
译	譯
议	議
谴	譴
护	護
诪	譸
誉	譽
谫	譾
𫍿	譾
读	讀
谉	讅
变	變
詟	讋
䜩	讌
雠	讎
谗	讒
让	讓
谰	讕
谶	讖
谠	讜
谳	讞
谷	谷 穀
岂	豈
竖	豎
丰	豐 丰
艳	豔 艷
猪	豬
𫎆	豵
豮	豶
猫	貓
𫎌	貗
䝙	貙
贝	貝
贞	貞
贠	貟
负	負
财	財
贡	貢
贫	貧
货	貨
贩	販
贪	貪
贯	貫
责	責
贮	貯
贳	貰
赀	貲
贰	貳
贵	貴
贬	貶
买	買
𧹒	買
贷	貸
贶	貺
费	費
贴	貼
贻	貽
贸	貿
贺	賀
贲	賁
赂	賂
赁	賃
贿	賄
赅	賅
资	資
贾	賈
贼	賊
赈	賑
赊	賒
宾	賓
赇	賕
赒	賙
赉	賚
赐	賜
𫎩	賝
赏	賞
𧹖	賟
赔	賠
赓	賡
贤	賢
卖	賣
贱	賤
赋	賦
赕	賧
质	質
账	賬
𧹔	賬
赌	賭
䞐	賰
赖	賴
赗	賵
赚	賺
赙	賻
购	購
赛	賽
赜	賾
𧹗	贃
贽	贄
赘	贅
赟	贇
赠	贈
𫎫	贉
赞	贊 讚
赡	贍
赢	贏
赆	贐
𫎬	贑
赃	贓
赑	贔
赎	贖
赝	贗 贋
𫎦	贚
赣	贛
赪	赬
赶	趕
赵	趙
趋	趨
趱	趲
迹	跡 蹟
践	踐
踊	踴
跄	蹌
𫏐	蹔
跸	蹕
跖	蹠 跖
蹒	蹣
踪	蹤
𫏆	蹳
跷	蹺
𫏋	蹻
跶	躂
趸	躉
踌	躊
跻	躋
跃	躍
䟢	躎
踯	躑
跞	躒
踬	躓
蹰	躕
𨀁	躘
跹	躚
𨅬	躝
蹑	躡
蹿	躥
躜	躦
躏	躪
躯	軀
𨉗	軉
车	車
轧	軋
轨	軌
军	軍
𫐄	軏
轪	軑
轩	軒
轫	軔
𫐅	軕
𨐅	軗
轭	軛
𫐇	軜
软	軟
轷	軤
𫐉	軨
轸	軫
𫐊	軬
轱	軲
𫐈	軷
轴	軸
轵	軹
轺	軺
轲	軻
轶	軼
轼	軾
𫐌	軿
较	較
𨐈	輄
辂	輅
辁	輇
辀	輈
载	載
轾	輊
𪨶	輋
辄	輒
辅	輔
轻	輕
𫐏	輖
𫐐	輗
辆	輛
辎	輜
辉	輝
辋	輞
辍	輟
𫐎	輢
辊	輥
辇	輦
𫐑	輨
辈	輩
轮	輪
辌	輬
𫐓	輮
辑	輯
辏	輳
𫐒	輷
输	輸
辐	輻
辗	輾
舆	輿
輼	轀
辒	轀
毂	轂
辖	轄
辕	轅
辘	轆
𫐖	轇
转	轉
𫐕	轊
辙	轍
轿	轎
𫐗	轐
辚	轔
𫐘	轗
轰	轟
𫐙	轠
辔	轡
轹	轢
𫐆	轣
轳	轤
办	辦
辞	辭
辫	辮
辩	辯
农	農
迳	逕
这	這
连	連
进	進
游	遊 游
运	運
过	過
达	達
违	違
遥	遙
逊	遜
递	遞
远	遠
适	適 适
𫐷	遱
迟	遲
迁	遷
选	選
遗	遺
辽	遼
迈	邁
还	還
迩	邇
边	邊
逻	邏
逦	邐
郏	郟
邮	郵
郓	鄆
乡	鄉
邹	鄒
邬	鄔
郧	鄖
𫑘	鄟
邓	鄧
郑	鄭
邻	鄰
郸	鄲
𫑡	鄳
邺	鄴
郐	鄶
邝	鄺
酂	酇
郦	酈
酸	酸 痠
腌	醃 腌
丑	醜 丑
酝	醞
醖	醞
蒏	醟
医	醫
酱	醬
酦	醱
𫑷	醶
酿	釀
衅	釁
酾	釃
酽	釅
释	釋
厘	釐 厘
钅	釒
钆	釓
钇	釔
钌	釕
钊	釗
钉	釘
钋	釙
𫟲	釚
针	針 鍼
𫓥	釟
钓	釣
钐	釤
钏	釧
𫓦	釨
钒	釩
𫟳	釲
𨰿	釳
钗	釵
钍	釷
钕	釹
钎	釺
䥺	釾
钯	鈀
钫	鈁 鍅
钘	鈃
钭	鈄
𫓪	鈆
𫓧	鈇
钚	鈈
钠	鈉
𨱂	鈋
钝	鈍
钤	鈐
钣	鈑
钑	鈒
钞	鈔
钮	鈕
𫟴	鈖
𫟵	鈗
𫓨	鈛
钧	鈞
𨱁	鈠
钙	鈣
钬	鈥
钛	鈦
钪	鈧
铌	鈮
𨱄	鈯
铈	鈰
𨱃	鈲
钶	鈳
铃	鈴
钴	鈷
钹	鈸
铍	鈹
钰	鈺
钸	鈽
铀	鈾
钿	鈿
钾	鉀
𨱅	鉁
钜	鉅
铊	鉈
铉	鉉
铇	鉋
铋	鉍
铂	鉑
𫓬	鉔
钷	鉕
钳	鉗
铆	鉚
铅	鉛
𫟷	鉝
钺	鉞
𫓭	鉠
钩	鉤
钲	鉦
钼	鉬
钽	鉭
铏	鉶
𫟹	鉷
铰	鉸
铒	鉺
铬	鉻
𫟸	鉽
𫓴	鉾
铪	鉿
银	銀
𫓲	銁
𫟻	銂
铳	銃
铜	銅
𫓯	銈
𫓰	銊
铚	銍
𫟶	銏
铣	銑
铨	銓
铢	銖
铭	銘
铫	銚
铦	銛
衔	銜
铑	銠
铷	銣
铱	銥
铟	銦
铵	銨
铥	銩
铕	銪
铯	銫
铐	銬
铞	銱
锐	銳
𨱇	銶
销	銷
锑	銻
锉	銼
铝	鋁
𰾄	鋂
锒	鋃
锌	鋅
钡	鋇
𨱈	鋉
铤	鋌
铗	鋏
锋	鋒
𫓶	鋗
铻	鋙
锊	鋝
锓	鋟
𫓵	鋠
铘	鋣
锄	鋤
锃	鋥
锔	鋦
锇	鋨
铓	鋩
铺	鋪
铖	鋮
锆	鋯
锂	鋰
铽	鋱
锍	鋶
锯	鋸
钢	鋼
𬬭	錀
锞	錁
𨱋	錂
录	錄 彔
锖	錆
锫	錇 鉳
锩	錈
铔	錏
锥	錐
锕	錒
锟	錕
锤	錘
锱	錙
铮	錚
锛	錛
𫓻	錜
𫓽	錝
锬	錟
锭	錠
锜	錡
钱	錢
𫓹	錤
𫓾	錥
锦	錦
锚	錨
锠	錩
锡	錫
锢	錮
错	錯
锰	錳
铼	錸
𫓸	錽
锝	鍀
锨	鍁
锪	鍃
𨱉	鍄
钔	鍆
锴	鍇
锳	鍈
𫔂	鍉
𫔀	鍊
锅	鍋
镀	鍍
𫔄	鍒
锷	鍔
铡	鍘
钖	鍚
锻	鍛
锽	鍠
锸	鍤
锲	鍥
锘	鍩
锹	鍬
𨱎	鍮
锾	鍰
键	鍵
锶	鍶
锗	鍺
钟	鍾 鐘 鈡
锺	鍾
镁	鎂
锿	鎄
镅	鎇
𫟿	鎈
镑	鎊
𫔅	鎍
镕	鎔
锁	鎖
镉	鎘
𫔈	鎙
镈	鎛
𨱏	鎝
𫔇	鎞
镃	鎡
钨	鎢
蓥	鎣
镏	鎦
铠	鎧
铩	鎩
锼	鎪
镐	鎬
镇	鎮
𨱍	鎯
镒	鎰
镍	鎳
镓	鎵
鿔	鎶
𨰾	鎷
镎	鎿 錼
镞	鏃
𨱌	鏆
镟	鏇
链	鏈 鍊
𨱒	鏉
镆	鏌
镙	鏍
镠	鏐
镝	鏑
铿	鏗
锵	鏘
𬭭	鏚
镗	鏜
镘	鏝
镛	鏞
铲	鏟 剷
镜	鏡
镖	鏢
镂	鏤
𫔊	鏥
𫓩	鏦
錾	鏨
镚	鏰
铧	鏵
镤	鏷
镪	鏹
䥽	鏺
锈	鏽
𫔌	鏾
铙	鐃
𨱑	鐄
𫔍	鐇
𫓱	鐈
铴	鐋
𫔎	鐍
𨱓	鐎
𨱔	鐏
镣	鐐
铹	鐒
镦	鐓
镡	鐔
镫	鐙
镨	鐠
䦅	鐥
锎	鐦
锏	鐧
镄	鐨
𫓺	鐪
镌	鐫
镰	鐮 鎌
䦃	鐯
镯	鐲
镭	鐳
铁	鐵
镮	鐶
铎	鐸
铛	鐺
𫔁	鐼
𫟼	鐽
镱	鐿
𰾭	鑀
铸	鑄
𫠁	鑉
镬	鑊
镔	鑌
鉴	鑑 鑒
镲	鑔
锧	鑕
镴	鑞
铄	鑠
镳	鑣
镥	鑥
𬬻	鑪
镧	鑭
钥	鑰 鈅
镵	鑱
镶	鑲
𫔔	鑴
镊	鑷
镩	鑹
锣	鑼
钻	鑽 鉆
銮	鑾
凿	鑿
䦆	钁
镢	钁 鐝
镋	钂 鎲
长	長
门	門
闩	閂
闪	閃
闫	閆
闬	閈
闭	閉
开	開
𫔭	開
闶	閌
𨸂	閍
闳	閎
闰	閏
𨸃	閐
闲	閒 閑
𫔮	閒
间	間
闵	閔
𫔯	閗
闸	閘
𫠂	閝
𫔰	閞
阂	閡
阁	閣
阀	閥
闺	閨
闽	閩
阃	閫
阆	閬
闾	閭
阅	閱
𫔴	閵
阊	閶
阉	閹
阎	閻
阏	閼
阍	閽
阈	閾
阌	閿
阒	闃
闱	闈
阔	闊
阕	闋
阑	闌
阇	闍
阗	闐
𫔶	闑
阘	闒
闿	闓
阖	闔
阙	闕
闯	闖
关	關
阚	闞
阓	闠
阐	闡
辟	闢 辟
阛	闤
闼	闥
陉	陘
陕	陝
阵	陣
阴	陰
陈	陳
陆	陸
阳	陽
陧	隉
队	隊
阶	階
陨	隕
际	際
随	隨
险	險
陦	隯
隐	隱
陇	隴
隶	隸
隽	雋
雕	雕 鵰
虽	雖
双	雙
雏	雛
杂	雜
鸡	雞
离	離
难	難
云	雲 云
电	電
霡	霢
𫕥	霣
雾	霧
𪵣	霼
霁	霽
雳	靂
霭	靄
叇	靆
灵	靈
叆	靉
靓	靚
静	靜
靔	靝
面	面 麵 麪
䩄	靦
腼	靦
𫖃	靧
靥	靨
巩	鞏
绱	鞝 緔
鞒	鞽
𫖇	鞾
缰	韁 繮
鞑	韃
鞯	韉
韦	韋
韧	韌
韨	韍
韩	韓
韪	韙
𫠅	韚
𫖔	韛
韬	韜
鞲	韝
𫖕	韝
韫	韞
𫖒	韠
韵	韻
响	響
页	頁
顶	頂
顷	頃
项	項
顺	順
顸	頇
须	須 鬚
顼	頊
颂	頌
𫠆	頍
颀	頎
颃	頏
预	預
顽	頑
颁	頒
顿	頓
颇	頗
领	領
颌	頜
颉	頡
颐	頤
颏	頦
𫖯	頫
头	頭
颒	頮
颊	頰
颋	頲
颕	頴
𫖳	頵
颔	頷
颈	頸
颓	頹
频	頻
𩓋	顂
𩖖	顃
𫖶	顅
颗	顆
题	題
额	額
颚	顎
颜	顏
颙	顒
颛	顓
𫖮	顗
愿	願 愿
𫖸	願
颡	顙
颠	顛
类	類
颟	顢
𫖹	顣
颢	顥
顾	顧
颤	顫
颥	顬
显	顯
颦	顰
颅	顱
颞	顳
颧	顴
风	風
飐	颭
飑	颮
飒	颯
𩙥	颰
飓	颶
𩙪	颷
飔	颸
飏	颺
飖	颻
飕	颼
𩙫	颾
飗	飀
飘	飄
飙	飆
飚	飈
𫗋	飋
飞	飛
饣	飠
饥	飢 饑
饤	飣
饦	飥
𫗞	飦
饨	飩
饪	飪
饫	飫
饬	飭
饭	飯
饮	飲
饴	飴
𫗢	飵
𫗣	飶
饲	飼
饱	飽
饰	飾
饳	飿
饺	餃
饸	餄
饼	餅
糍	餈
饷	餉
养	養
饵	餌
饹	餎
饻	餏
饽	餑
馁	餒
饿	餓
𫗦	餔
馂	餕
饾	餖
𫗧	餗
余	餘 余
馀	餘
肴	餚
馄	餛
馃	餜
饯	餞
馅	餡
𫗠	餦
𫗪	餧
馆	館
𫗬	餪
𫗥	餫
𫗫	餬
𫗮	餭
糇	餱
𫗯	餱
饧	餳
𫗭	餵
馉	餶
馇	餷
𩠌	餸
馎	餺
饩	餼
馏	餾
馊	餿
馌	饁
馍	饃
馒	饅
馐	饈
馑	饉
馓	饊
馈	饋
馔	饌
饶	饒
飨	饗
𫗴	饘
餍	饜
馋	饞
𫗵	饟
𫗩	饠
馕	饢
马	馬
驭	馭
冯	馮
𫘛	馯
驮	馱
驰	馳
驯	馴
驲	馹
𫘜	馼
驳	駁
𫘝	駃
𫘟	駊
𩧨	駎
驻	駐
驽	駑
驹	駒
驵	駔
驾	駕
骀	駘
驸	駙
𩧫	駚
驶	駛
驼	駝
𫘞	駞
驷	駟
骈	駢
𫘠	駤
𩧲	駧
𩧴	駩
𫘡	駫
骇	駭
骃	駰
骆	駱
𩧺	駶
骎	駸
𫘣	駻
骏	駿
骋	騁
骍	騂
𫘤	騃
𫘧	騄
骓	騅
𫘥	騉
𫘦	騊
骔	騌
骒	騍
骑	騎
骐	騏
𩨀	騔
骛	騖
骗	騙
𩨊	騚
𫘩	騜
𩨃	騝
𩨈	騟
𫘨	騠
骙	騤
䯄	騧
𩨄	騪
骞	騫
骘	騭
骝	騮
腾	騰
𫘬	騱
𫘫	騴
𫘪	騵
驺	騶
骚	騷
骟	騸
𫘭	騻
𫠋	騼
骡	騾
蓦	驀
骜	驁
骖	驂
骠	驃
骢	驄
𩨂	驄
驱	驅
骅	驊
𩧯	驋
骕	驌
骁	驍
骣	驏
𫘯	驓
骄	驕
验	驗
𫘰	驙
惊	驚
驿	驛
骤	驟
驴	驢
骧	驤
骥	驥
骦	驦
𫘱	驨
骊	驪
骉	驫
肮	骯
髅	髏
脏	髒 臟
体	體
髌	髕
髋	髖
𩭹	鬖
𫘽	鬠
鬓	鬢
斗	鬥 斗
闹	鬧
阋	鬩
阄	鬮
郁	鬱 郁
鬶	鬹
魉	魎
魇	魘
鱼	魚
鱽	魛
𫚉	魟
鱾	魢
𩽹	魥
𫚌	魦
鲀	魨
鲁	魯
鲂	魴
𫚍	魵
鱿	魷
鲄	魺
𫠐	魽
𬶍	鮀
鲅	鮁
鲆	鮃
𫚒	鮄
𫚑	鮅
𫚖	鮆
𬶋	鮈
鲌	鮊
鲉	鮋
鲏	鮍
鲇	鮎
鲐	鮐
鲍	鮑
鲋	鮒
鲊	鮓
鲒	鮚
鲘	鮜
鲕	鮞
𩽾	鮟
𬶏	鮠
䲟	鮣
𫚓	鮤
鲖	鮦
鲔	鮪
鲛	鮫
鲑	鮭
鲜	鮮
𫚗	鮯
𫚔	鮰
鲓	鮳
𫚛	鮵
鲪	鮶
𩾃	鮸
鲝	鮺
𫚚	鮿
鲧	鯀
鲠	鯁
𩾁	鯄
𫚙	鯆
鲩	鯇
鲤	鯉
鲨	鯊
鲬	鯒
鲻	鯔
鲯	鯕
鲭	鯖
鲞	鯗
鲷	鯛
鲴	鯝
𫚡	鯞
鲱	鯡
鲵	鯢
鲲	鯤
鲳	鯧
鲸	鯨
鲮	鯪
鲰	鯫
𫚞	鯬
鲶	鯰
𩾇	鯱
鲺	鯴
𩽼	鯶
鳀	鯷
𬶟	鯻
鲫	鯽
𫚣	鯾
鳊	鯿
鳈	鰁
鲗	鰂
鳂	鰃
䲠	鰆
鲽	鰈
鳇	鰉
𫚢	鰋
䲡	鰌
鳅	鰍
鲾	鰏
𫚊	鰑
鳆	鰒
鳃	鰓
𫚥	鰕
鳒	鰜
鳑	鰟
鳋	鰠
鲥	鰣
𫚕	鰤
鳏	鰥
𫚤	鰦
䲢	鰧
鳎	鰨
鳐	鰩
𫚦	鰫
鳍	鰭
鳁	鰮
鲢	鰱
鳌	鰲
鳓	鰳
鳘	鰵
鲦	鰷
鲣	鰹
鲹	鰺
鳗	鰻
鳛	鰼
𫚧	鰽
鳔	鰾
鳉	鱂
𫚋	鱄
鳙	鱅
𫠒	鱆
𩾌	鱇
鳕	鱈
鳖	鱉
𫚪	鱊
鳟	鱒
鳝	鱔
鳜	鱖
鳞	鱗
鲟	鱘
鲼	鱝
鲎	鱟
鲙	鱠
𫚫	鱢
鳣	鱣
鳡	鱤
鳢	鱧
鲿	鱨
鲚	鱭
𫚈	鱮
鳠	鱯
𫚭	鱲
鳄	鱷
鲈	鱸
鲡	鱺
鸟	鳥
凫	鳧
鸠	鳩
鸤	鳲
凤	鳳
鸣	鳴
鸢	鳶
𫛛	鳷
𪉃	鳼
𫛚	鳽
䴓	鳾
𫛜	鴀
𫛞	鴃
𫛝	鴅
鸩	鴆
鸨	鴇
鸦	鴉
𫛤	鴐
鸰	鴒
𫛡	鴔
鸵	鴕
𫁡	鴗
鸳	鴛
𪉈	鴜
鸲	鴝
鸮	鴞
鸱	鴟
鸪	鴣
𫛣	鴥
鸯	鴦
鸭	鴨
𫛦	鴮
鸸	鴯
鸹	鴰
𪉆	鴲
𫛩	鴳
鸻	鴴
䴕	鴷
鸿	鴻
𫛪	鴽
鸽	鴿
䴔	鵁
鸺	鵂
鸼	鵃
𫛥	鵊
鹀	鵐
鹃	鵑
鹆	鵒
鹁	鵓
𪉍	鵚
鹈	鵜
鹅	鵝
𫛭	鵟
鹄	鵠
鹉	鵡
𫛨	鵧
𫛳	鵩
鹌	鵪
𫛱	鵫
鹏	鵬
鹐	鵮
鹎	鵯
𫛲	鵰
鹊	鵲
鹓	鵷
鹍	鵾
䴖	鶄
鸫	鶇
鹑	鶉
鹒	鶊
𫛵	鶌
𫛶	鶒
鹋	鶓
鹙	鶖
𫛸	鶗
鹕	鶘
鹗	鶚
鹖	鶡
鹛	鶥
𫛷	鶦
鹜	鶩
䴗	鶪
鸧	鶬
𫛯	鶭
莺	鶯
𫛫	鶰
鹟	鶲
鹤	鶴
鹠	鶹
鹡	鶺
鹘	鶻
鹣	鶼
鹚	鷀
鹢	鷁
鹞	鷂
𫛽	鷅
䴘	鷉
鹝	鷊
𫜀	鷐
鹧	鷓
𪉑	鷔
鹥	鷖
鸥	鷗
鸷	鷙
鹨	鷚
𫜃	鷣
𫛴	鷤
鸶	鷥
鹪	鷦
𪉊	鷨
𫜁	鷩
鹔	鷫
𬸪	鷭
鹩	鷯
鹫	鷲
鹇	鷳 鷴
𫜄	鷷
鹬	鷸
鹰	鷹
鹭	鷺
鸴	鷽
𬸯	鷿
㶉	鸂
鹯	鸇
䴙	鸊
𫛢	鸋
鹱	鸌
鹲	鸏
鸬	鸕
𫛟	鸗
鹴	鸘
鹦	鸚
鹳	鸛
鹂	鸝
鸾	鸞
咸	鹹 咸
鹾	鹺
碱	鹼
盐	鹽
丽	麗
麦	麥
𪎊	麨
麸	麩
𤿲	麬
𪎉	麲
𪎌	麳
麹	麴
𫜑	麷
么	麼
麽	麼
黄	黃
黉	黌
点	點
党	黨 党
黪	黲
霉	黴
黡	黶
黩	黷
黾	黽
鼋	黿
鼌	鼂
鼍	鼉
鼹	鼴
齐	齊
斋	齋
赍	齎
齑	齏
齿	齒
龀	齔
龁	齕
龂	齗
龅	齙
龇	齜
龃	齟
龆	齠
龄	齡
龈	齦
啮	齧 嚙
𫜩	齧
𫜪	齩
龊	齪
龉	齬
𫜭	齭
𫠜	齯
𫜬	齰
龋	齲
𫜮	齴
腭	齶
龌	齷
𫜰	齾
龙	龍
厐	龎
庞	龐
䶮	龑
𫜲	龓
龚	龔
龛	龕
龟	龜
𩨎	龭
𨱆	龯
䜤	鿁
鿒	鿓
𠀾	𠁞
𠆿	𠌥
𠉗	𠏢
𫝋	𠐊
㓆	𠗣
𠛆	𠞆
𠚳	𠠎
𪠡	𠬙
𪠺	𠽃
𪜎	𠿕
𪢒	𡂡
𪡺	𡃄
𠴛	𡃕
𪢐	𡃤
𠴢	𡄔
𠵸	𡄣
𠲥	𡅏
𪢖	𡅯
𡋗	𡑭
𪤄	𡓁
𡋀	𡓾
𡍣	𡔖
㛟	𡞵
𫝪	𡟫
㛿	𡠹
㛠	𡢃
𡭜	𡮉
𡭬	𡮣
𡳃	𡳳
𪨩	𡸗
𪨹	𡹬
𡸃	𡽗
㟜	𡾱
𪩛	𡿖
𪪴	𢍰
𢙑	𢠼
𪬚	𢣐
𢘝	𢣚
𢘞	𢣭
𪫡	𢤩
𢘙	𢤱
𪬯	𢤿
𪭝	𢯷
𪭯	𢶒
𢫞	𢶫
𢫊	𢷮
𢬦	𢹿
𪮳	𢺳
暅	𣈶
𣈣	𣋋
𫧃	𣍐
㭣	𣙎
𪳗	𣜬
𣘷	𣝕
𣘓	𣞻
𣞎	𣠩
𣑶	𣠲
𣯣	𣯩
𣭤	𣯴
毶	𣯶
𪶮	𣽏
㳢	𣾷
𣶫	𣿉
𣺽	𤁣
𪶒	𤄷
𣷷	𤅶
𤎻	𤑳
𪹀	𤑹
𤊀	𤒎
𪹹	𤒻
𪹠	𤓌
𤎺	𤓎
𤊰	𤓩
𪺣	𤘀
𤙯	𤛮
𫞢	𤛱
𪺪	𤜆
𪺸	𤠮
𤝢	𤢟
𢢐	𤢻
𫞧	𤩂
㻘	𤪺
㻏	𤫩
𪼴	𤬅
𪽝	𤳷
𤳄	𤳸
𪽭	𤷃
𤶧	𤸫
𪽴	𤺔
𥅿	𥊝
𥅘	𥌃
𪿊	𥏝
𥐰	𥕥
𥐯	𥖅
𪿞	𥖲
𪿵	𥗇
𫀓	𥜐
𫀌	𥜰
𥞦	𥞵
䅪	𥢢
𫞷	𥢶
𫀮	𥢷
𥧂	𥨐
𥩺	𥪂
𫁳	𥯤
𫂖	𥴨
𫁺	𥴼
𥱔	𥵃
𥭉	𥵊
𫁱	𥶽
𥮋	𥸠
𫂿	𥻦
𥹥	𥼽
𥺇	𥽖
𫄝	𥾯
𦈈	𥿊
𫄦	𦀖
𦈒	𦂅
𦈗	𦃄
𫄯	𦃩
𫄪	𦅇
𫄵	𦅈
𫟇	𦆲
𫅥	𦒀
𫅼	𦔖
𡳒	𦘧
𫆝	𦟼
𫞅	𦠅
𫆫	𦡝
𣍨	𦢈
𦟗	𦣎
𫇘	𦧺
䑽	𦪙
𦨩	𦪽
𫇪	𦱌
𦶻	𦾟
𧌥	𧎈
𫊹	𧒯
𧒭	𧔥
𧉐	𧕟
䘞	𧜗
䙊	𧜵
䘛	𧝞
𫌋	𧞫
𧝧	𧟀
𫌫	𧡴
𫌬	𧢄
𫍞	𧦝
𫍟	𧦧
𫍭	𧩕
䜥	𧩙
𫍶	𧩼
𫍺	𧫝
𫍼	𧬤
𫍾	𧭈
𫍐	𧭹
𧳕	𧳟
䞌	𧵳
𧹓	𧶔
䞎	𧶧
𪠀	𧷎
𫎨	𧸘
𪥠	𧹈
𫎸	𧽯
𫏌	𨂐
𨀱	𨄣
𨁴	𨅍
𫏕	𨆪
𧿈	𨇁
𨅫	𨇞
𫏨	𨇤
𫏞	𨇰
𫏑	𨇽
𨂺	𨈊
𨄄	𨈌
䢀	𨊰
䢁	𨊸
𨐆	𨊻
䢂	𨋢
𫐍	𨌈
𫐔	𨍰
𫐋	𨎌
𨐉	𨎮
𨐇	𨏠
𨐊	𨏥
𫟫	𨞺
𫟬	𨟊
𨡙	𨢿
𨡺	𨣈
𨟳	𨣞
𨠨	𨣧
𨤰	𨤻
𨱀	𨥛
𫓫	𨥟
䦀	𨦫
𬭊	𨧀
䦁	𨧜
𫟽	𨧰
𨱊	𨧱
𬭛	𨨏
𫓼	𨨛
𫓿	𨨢
𫟾	𨩰
𫓮	𨪕
𨱐	𨫒
𫔏	𨬖
𬭶	𨭆
𬭳	𨭎
𫔑	𨭖
𫔐	𨭸
𨱕	𨮂
𫔒	𨮳
䥿	𨯅
𫔓	𨯟
𫔉	𨰃
𫓳	𨰋
𫔕	𨰥
𫔃	𨰲
𫔖	𨲳
𨸁	𨳑
𨸀	𨳕
𨸅	𨴗
𫔲	𨴹
𨸆	𨵩
𨸇	𨵸
𨸉	𨶀
𨸊	𨶏
𨸌	𨶮
𨸋	𨶲
𨸎	𨷲
𫔽	𨼳
𨸘	𨽏
𫕚	𩀨
𫕨	𩅙
𫖑	𩎖
𩏾	𩎢
𫖓	𩏂
𫖖	𩏠
𩏽	𩏪
𫃗	𩏷
𫖪	𩑔
𫖭	𩒎
𩖕	𩓣
𫖵	𩓥
𫖷	𩔑
𫖴	𩔳
𫠇	𩖰
𩙦	𩗀
𫗈	𩗓
𫗉	𩗴
𩙩	𩘀
𩙭	𩘝
𩙨	𩘹
𩙬	𩘺
𩙰	𩙈
𩟿	𩚛
𩠀	𩚥
𫗡	𩚩
𩠁	𩚵
𩠂	𩛆
𫗤	𩛌
𫗨	𩛡
𩠃	𩛩
𩠉	𩜇
𩠆	𩜦
𩠊	𩜵
𩠋	𩝔
𫗳	𩝽
𩠎	𩞄
𩠏	𩞦
䭪	𩞯
𩠅	𩟐
𫗚	𩟗
𩠠	𩠴
𩡖	𩡣
𩧦	𩡺
𩧬	𩢡
𩧵	𩢴
𩧳	𩢸
𩧮	𩢾
𩧶	𩣏
䯃	𩣑
𩧸	𩣫
𩧻	𩣵
𩧼	𩣺
𩧩	𩤊
𩨆	𩤙
𩨉	𩤲
𩨅	𩤸
𩨋	𩥄
𩨍	𩥇
𩧱	𩥉
𩨌	𩥑
𫠌	𩦠
𩨐	𩧆
𩬣	𩭙
𫙂	𩯁
𩯒	𩯳
𩬤	𩰀
𩰰	𩰹
𩲒	𩳤
𩴌	𩴵
𫠏	𩵦
𩽺	𩵩
𩽻	𩵹
𫚎	𩶁
䲞	𩶘
𩽿	𩶰
𩽽	𩶱
𩾄	𩷰
𩾅	𩸃
𫚝	𩸄
𫚟	𩸡
𩾆	𩸦
𫚨	𩻗
𫚩	𩻬
𫚘	𩻮
𫚬	𩼶
𩾎	𩽇
𫠖	𩿅
𫛠	𩿤
𪉄	𩿪
𫛧	𪀖
𪉅	𪀦
𪉋	𪀾
𪉉	𪁈
𪉌	𪁖
𪉎	𪂆
𪉐	𪃍
𪉏	𪃏
𫛻	𪃒
𫛹	𪃧
𪉔	𪄆
𪉒	𪄕
𫜂	𪅂
𫛾	𪆷
𪉕	𪇳
𱊜	𪈼
𫜊	𪉸
𫧮	𪋿
𫜓	𪌭
𫜕	𪍠
𫜟	𪓰
𪔭	𪔵
𪚏	𪘀
𪚐	𪘯
𫜯	𪙏
𠛾	𪟖
𣶭	𪷓
𫓷	𫒡
𫜫	𫜦
一发	一發
七发	七發
下发	下發
乱发	亂髮
事发	事發
互发	互發
五发	五發
交发	交發
并发	併發
来发	來發
促发	促發
保发	保發
俱发	俱發
假发	假髮
偶发	偶發
偷发	偷發
传发	傳發
充发	充發
先发	先發
六发	六發
再发	再發
分发	分發
初发	初發
剃发	剃髮
削发	削髮
剪发	剪髮
加发	加發
勃发	勃發
